,club_name,id_number,url_name
1,FC Barcelona,131,fc-barcelona
4,Real Madrid,418,real-madrid
7,Atlético Madrid,13,atletico-madrid
10,Valencia CF,1049,fc-valencia
13,Sevilla FC,368,fc-sevilla
16,Celta de Vigo,940,celta-vigo
19,Real Sociedad,681,real-sociedad-san-sebastian
22,Real Betis Balompié,150,real-betis-sevilla
25,Athletic Bilbao,621,athletic-bilbao
28,Villarreal CF,1050,fc-villarreal
31,RCD Espanyol Barcelona,714,espanyol-barcelona
34,Girona FC,12321,fc-girona
37,CD Leganés,1244,cd-leganes
40,Levante UD,3368,ud-levante
43,Getafe CF,3709,fc-getafe
46,Deportivo Alavés,1108,deportivo-alaves
49,SD Eibar,1533,sd-eibar
52,Rayo Vallecano,367,rayo-vallecano
55,Real Valladolid CF,366,real-valladolid
58,SD Huesca,5358,sd-huesca
235,Bayern Munich,27,fc-bayern-munchen
238,Borussia Dortmund,16,borussia-dortmund
241,RB Leipzig,23826,rasenballsport-leipzig
244,Bayer 04 Leverkusen,15,bayer-04-leverkusen
247,Borussia Mönchengladbach,18,borussia-monchengladbach
250,TSG 1899 Hoffenheim,533,tsg-1899-hoffenheim
253,FC Schalke 04,33,fc-schalke-04
256,Eintracht Frankfurt,24,eintracht-frankfurt
259,Hertha BSC,44,hertha-bsc
262,VfB Stuttgart,79,vfb-stuttgart
265,VfL Wolfsburg,82,vfl-wolfsburg
268,SV Werder Bremen,86,sv-werder-bremen
271,Hannover 96,42,hannover-96
274,1.FSV Mainz 05,39,1-fsv-mainz-05
277,FC Augsburg,167,fc-augsburg
280,SC Freiburg,60,sc-freiburg
283,1.FC Nuremberg,4,1-fc-nurnberg
286,Fortuna Düsseldorf,38,fortuna-dusseldorf
447,Juventus FC,506,juventus-turin
450,Inter Milan,46,inter-mailand
453,SSC Napoli,6195,ssc-neapel
456,AC Milan,5,ac-mailand
459,AS Roma,12,as-rom
462,SS Lazio,398,lazio-rom
465,ACF Fiorentina,430,ac-florenz
468,UC Sampdoria,1038,uc-sampdoria
471,Atalanta BC,800,atalanta-bergamo
474,Torino FC,416,fc-turin
477,US Sassuolo,6574,us-sassuolo
480,Udinese Calcio,410,udinese-calcio
483,Cagliari Calcio,1390,cagliari-calcio
486,Genoa CFC,252,fc-genua-1893
489,Bologna FC 1909,1025,fc-bologna
492,SPAL,2722,spal-2013
495,Parma Calcio 1913,130,fc-parma
498,FC Empoli,749,fc-empoli
501,Frosinone Calcio,8970,frosinone-calcio
504,Chievo Verona,862,chievo-verona
680,Paris Saint-Germain,583,fc-paris-saint-germain
683,Olympique Lyon,1041,olympique-lyon
686,AS Monaco,162,as-monaco
689,Olympique Marseille,244,olympique-marseille
692,LOSC Lille,1082,osc-lille
695,OGC Nice,417,ogc-nizza
698,Stade Rennais FC,273,fc-stade-rennes
701,FC Girondins Bordeaux,40,fc-girondins-bordeaux
704,AS Saint-Étienne,618,as-saint-etienne
707,FC Nantes,995,fc-nantes
710,RC Strasbourg Alsace,667,racing-strassburg
713,HSC Montpellier,969,hsc-montpellier
716,Nîmes Olympique,1160,olympique-nimes
719,FCO Dijon,2969,fco-dijon
722,FC Toulouse,415,fc-toulouse
725,EA Guingamp,855,ea-guingamp
728,SC Amiens,1416,sc-amiens
731,Stade Reims,1421,stade-reims
734,SM Caen,1162,sm-caen
737,SCO Angers,1420,sco-angers
920,Manchester City,281,manchester-city
923,Liverpool FC,31,fc-liverpool
926,Chelsea FC,631,fc-chelsea
929,Tottenham Hotspur,148,tottenham-hotspur
932,Manchester United,985,manchester-united
935,Arsenal FC,11,fc-arsenal
938,Everton FC,29,fc-everton
941,Leicester City,1003,leicester-city
944,West Ham United,379,west-ham-united
947,Fulham FC,931,fc-fulham
950,Crystal Palace,873,crystal-palace
953,AFC Bournemouth,989,afc-bournemouth
956,Wolverhampton Wanderers,543,wolverhampton-wanderers
959,Southampton FC,180,fc-southampton
962,Newcastle United,762,newcastle-united
965,Burnley FC,1132,fc-burnley
968,Watford FC,1010,fc-watford
971,Brighton & Hove Albion,1237,brighton-amp-hove-albion
974,Huddersfield Town,1110,huddersfield-town
977,Cardiff City,603,cardiff-city
